id,nome,fase,semana_inicio,semana_fim,responsavel,area,esforco_horas,saving_M,risco,volume,unidade,criterio_sucesso,dependencia,tarefas
I01,Corrigir preços zerados,1,1,1,Analista MDM,Supply,8,0.44,BAIXO,99,materiais,99 materiais com preco_unitario > 0,,Exportar lista dos 99 materiais com preço zero | Aplicar mediana da categoria (script Dia 16 já calculou) | Validar com responsável_cadastro de cada item | Atualizar no ERP e registrar no log de alterações
I02,Bloquear duplicatas,1,1,2,Analista MDM + Almoxarife,Supply + Operações,20,2.8,ALTO,299,pares,Zero duplicatas ativas no status aprovado,,Exportar relatório de duplicatas (script Dia 3) | Classificar cada par: mesmo produto (bloquear) ou diferente (manter) | Validar com almoxarife — ele conhece os itens físicos | Bloquear código redundante no ERP | Redirecionar ordens de compra abertas para código correto
I03,Ativar pipeline de cadastro,1,2,3,Analista MDM + TI,TI + Supply,24,5.1,BAIXO,0,processo,"Pipeline rodando em produção, 0 cadastros manuais sem validação",,Configurar script do pipeline (Dia 26) no servidor | Definir agendamento: rodar diariamente às 06h | Testar com 50 cadastros novos em homologação | Treinar equipe no novo fluxo (AUTO/SUPERVISOR/MDO) | Documentar SLAs e responsáveis (Dia 25)
I04,Corrigir NCMs — Fase 1 (curva A),1,2,4,Analista Fiscal + MDM,Fiscal + Supply,32,3.2,MÉDIO,240,materiais (curva A),"100% dos materiais curva A com NCM válido (8 dígitos, TIPI)",,Filtrar os 240 materiais curva A com NCM inválido | Analista fiscal consulta tabela TIPI por categoria | Validar NCM proposto com responsável do material | Atualizar no ERP com rastreio de quem corrigiu | Confirmar com sistema fiscal (NF-e) que NCM foi aceito
I05,Definir estoque mínimo,2,5,8,Analista Supply + Planejamento,Supply,40,12.5,MÉDIO,660,materiais,≥90% dos 660 materiais com estoque_minimo definido,I02 (duplicatas resolvidas antes de calcular mínimos),Calcular consumo médio diário dos últimos 12 meses | Levantar lead time real de cada fornecedor | Aplicar fórmula: consumo_médio × lead_time × 1.3 | Validar mínimos com almoxarife e planejamento | Parametrizar ponto de reposição no ERP
I06,Cadastrar fornecedores principais,2,5,9,Compras + Analista MDM,Compras,48,8.2,MÉDIO,660,materiais,≥80% dos 660 materiais com fornecedor_principal,,Cruzar histórico de compras dos últimos 2 anos | Identificar fornecedor mais frequente por material | Validar fornecedores ativos no cadastro de terceiros | Registrar fornecedor_principal e lead_time_dias no ERP | Para novos fornecedores: processo de homologação
I07,Revisar e inativar obsoletos,2,6,9,Analista MDM + Gestores de Área,Supply + Operações,36,0.0,MÉDIO,809,materiais,Taxa de obsoletos ativos < 5% (meta KPI Dia 25),,Exportar lista de 809 materiais parados > 365 dias | Enviar para cada gestor de área validar: usar ou inativar? | Prazo de resposta: 10 dias úteis (SLA definido) | Sem resposta = inativação automática após 15 dias | Para os que ficam ativos: justificativa obrigatória
I08,Corrigir NCMs — Fase 2 (curva B+C),2,7,10,Analista Fiscal,Fiscal,40,2.1,MÉDIO,548,materiais (B+C),100% dos 788 NCMs válidos no total,I04 (curva A concluída),"Processar os 548 materiais curva B e C restantes | Priorizar por categoria (Elétrico, Hidráulico primeiro) | Usar tabela TIPI com mapeamento categoria → NCM | Processar em lotes de 50 por semana"
I09,Implantar KPIs e dashboard,3,10,11,Analista MDM,Supply + TI,16,1.4,BAIXO,12,KPIs monitorados,"Dashboard atualizado semanalmente, KPIs enviados aos donos",I03 (pipeline ativo),Publicar dashboard HTML (Dia 28) em servidor interno | Agendar atualização automática semanal | Distribuir relatório de KPIs para gestores (toda segunda) | Definir dono de cada KPI e meta para 6 meses
I10,Treinar equipe no novo processo,3,11,12,MDO + RH,Todos,20,3.5,BAIXO,0,processo,100% da equipe de almoxarifado e compras treinada,I03 (pipeline em produção),Treinamento presencial: pipeline e novo fluxo de cadastro | Material de apoio: Dicionário de Dados (Dia 24) impresso | Simulação prática: cadastrar 10 materiais reais pelo pipeline | Teste de conhecimento (>70% = aprovado)
I11,Revisão de contas contábeis e CST,3,11,13,Fiscal + Contabilidade,Fiscal,32,1.2,ALTO,438,materiais bloqueados,Bloqueados < 5% do total (meta: ≤165 materiais),I08 (NCMs corrigidos),Revisar os 438 materiais bloqueados — identificar motivo | Corrigir conta_contabil nos que têm erro fiscal | Validar CST ICMS com regulamento vigente | Desbloquear após correção ou manter bloqueado c/ justificativa
I12,Auditoria e entrega final,3,12,13,MDO,Supply + Gestão,24,0.0,BAIXO,0,processo,QA Score ≥ 97% | Todos os KPIs críticos atingidos,Todas as iniciativas anteriores,"Rodar suite QA completa (Dia 20) — meta score ≥ 97% | Validar KPIs: completude ≥ 95%, NCM = 100%, dup = 0% | Apresentar resultados para diretoria (Dia 31) | Documentar lições aprendidas e próximos ciclos"
