campo,grupo,tipo_dado,tamanho,obrigatorio,chave_primaria,descricao,regra_negocio,exemplo_valido,exemplo_invalido,responsavel,frequencia_atualizacao,impacto_ausencia
codigo_material,1. Identificação,VARCHAR,10,SIM,SIM,Código único que identifica cada material no sistema,Formato MAT-XXXXX (3 letras + hífen + 5 dígitos). Único e imutável.,"MAT-00001, MAT-03457","M-001, mat00001, MAT-1 (sem zeros)",Sistema ERP,Criação única,CRÍTICO — material não existe no sistema
descricao,1. Identificação,VARCHAR,100,SIM,NÃO,Nome descritivo do material para identificação humana,Padrão: [Substantivo] + [Adjetivo/Material]. Min 3 palavras. Title Case.,"Parafuso Aço Inox, Luva Borracha Nitrílica","PARAFUSO AÇO (maiúsculas), parf (abreviação)",Almoxarife / MDO,Raramente,CRÍTICO — impossível identificar o material
descricao_complementar,1. Identificação,VARCHAR,250,NÃO,NÃO,"Informações técnicas adicionais: dimensões, especificações, normas",Usar quando descrição principal não diferencia materiais similares,"DN 50mm, PN 16, ABNT NBR 5648",Ver almoxarifado (não é informação técnica),Engenharia / MDO,Quando necessário,BAIXO — campo complementar
codigo_fabricante,1. Identificação,VARCHAR,50,NÃO,NÃO,Código do material conforme catálogo do fabricante,Exatamente como consta no catálogo. Maiúsculas.,"SKF-6205, 3M-1080-G12","vide catálogo, igual fornecedor",Compras / MDO,Quando fornecedor atualizar catálogo,MÉDIO — dificulta compra direta
categoria,2. Classificação,VARCHAR,30,SIM,NÃO,Categoria principal conforme taxonomia MDM,"Apenas 15 valores: Acessórios, EPI, Eletrônico, Elétrico, Embalagem, Escritório, Ferramentas, Fixação, Hidráulico, Limpeza, Lubrificante, Mecânico, Peças, Pneumático, Químico","Elétrico, Hidráulico, EPI","eletrico (sem acento), ELÉTRICO (maiúsculas)",MDO,Raramente (aprovação MDO),CRÍTICO — relatórios incorretos
subcategoria,2. Classificação,VARCHAR,50,NÃO,NÃO,Subdivisão da categoria para maior granularidade,Derivada da categoria. Ex: Elétrico → Cabos / Disjuntores / Tomadas,"Cabos e Fios, EPI Proteção Visual","Outros, Geral, N/A",MDO,Quando necessário,BAIXO
ncm,2. Classificação,CHAR,8,SIM,NÃO,Nomenclatura Comum do Mercosul — código fiscal de 8 dígitos,Exatamente 8 dígitos. Sem pontos. Consultar tabela TIPI (Receita Federal).,"84841467, 39174710","8484.14.67 (com pontos), 848414 (6 dígitos), 99999999 (genérico)",Fiscal / MDO,Quando tabela TIPI mudar,CRÍTICO — nota fiscal bloqueada
curva_abc,2. Classificação,CHAR,1,NÃO,NÃO,"Classificação ABC por valor de consumo: A=top80%, B=15%, C=5%","A, B ou C. Recalcular a cada 6 meses.","A, B, C","a (minúsculo), 1, Alto",MDO / Supply Chain,Semestral,MÉDIO — dificulta priorização de compras
criticidade,2. Classificação,VARCHAR,10,NÃO,NÃO,Impacto na operação em caso de falta,CRÍTICO = para produção; IMPORTANTE = atrasa; NORMAL = sem impacto imediato,"CRÍTICO, IMPORTANTE, NORMAL","Critico (sem maiúsculas), C, 1",Engenharia / Operações,Anual,MÉDIO — dificulta gestão de emergências
unidade_medida,3. Unidades e Medidas,CHAR,5,SIM,NÃO,Unidade de medida para controle de estoque e compras,"Valores: UN, KG, L, M, CX, PCT, GL, RL, M², MT, PC, GR","UN (unidade), KG (quilograma), L (litro)","unidade (por extenso), Kg (caixa mista)",MDO,Raramente,CRÍTICO — compra e estoque incorretos
